epoch_id,validator_group,member_count,voting_power,delegated_stake,nominal_fee,network_effective_fee,identity_adjusted_effective_fee
298,PANDABYTE,2,10.7,262437875,0.99,5.593870332435819,10.7
299,PANDABYTE,2,10.67,261940200,0.99,5.581124149519623,10.67
300,PANDABYTE,2,10.64,261303671,0.99,5.569599055384109,10.64
301,PANDABYTE,2,9.0,221170267,0.99,5.310986808593038,9.0
302,PANDABYTE,2,8.63,212351364,0.99,4.911915052780165,8.63
303,PANDABYTE,2,8.51,208754720,0.99,4.830660752197603,8.51
304,PANDABYTE,2,8.47,207596183,0.99,4.786524811152236,8.47
305,PANDABYTE,2,8.46,207628443,0.99,4.778232605683991,8.46
306,PANDABYTE,2,10.02,245203848,0.99,5.107934652314266,10.02
307,PANDABYTE,2,10.02,245430718,0.99,5.105120963138771,10.02
308,PANDABYTE,2,10.02,245271931,0.99,5.102595622611215,10.02
309,PANDABYTE,2,10.05,244298903,0.99,5.112885615986577,10.05
310,PANDABYTE,2,10.04,244037881,0.99,5.10958375052437,10.04
311,PANDABYTE,2,10.29,244079346,0.99,5.236678992084812,10.29
312,PANDABYTE,2,10.0,243062403,0.99,5.09514423129438,10.0
313,PANDABYTE,2,10.01,243052081,0.99,5.101669039937165,10.01
314,PANDABYTE,2,10.0,242984743,0.99,5.097804094226608,10.0
315,PANDABYTE,2,10.01,243213210,0.99,5.101104569484527,10.01
316,PANDABYTE,2,9.97,242405151,0.99,5.085197452920462,9.97
317,PANDABYTE,2,9.95,241349893,0.99,5.0720379414877135,9.95
318,PANDABYTE,2,9.95,241387032,0.99,5.072109637853288,9.95
319,PANDABYTE,2,9.93,241272297,0.99,5.062394400132892,9.93
320,PANDABYTE,2,9.9,240588540,0.99,5.051491148165245,9.9
321,PANDABYTE,2,9.84,239029187,0.99,5.031279781661141,9.84
322,PANDABYTE,2,8.23,200048866,0.99,4.687054167305302,8.23
323,PANDABYTE,2,8.25,200625273,0.99,4.688152077430444,8.25
324,PANDABYTE,2,8.25,200684886,0.99,4.681339886552293,8.25
325,PANDABYTE,2,8.37,201482308,0.99,4.733588675438441,8.37
326,PANDABYTE,2,8.36,200999226,0.99,4.7255297471643,8.36
327,PANDABYTE,2,8.27,200941477,0.99,4.675369863982835,8.27
328,PANDABYTE,2,8.26,200981130,0.99,4.6321023352789386,8.26
329,PANDABYTE,2,8.29,201652133,0.99,4.6360285423313625,8.29
330,PANDABYTE,2,8.26,201036700,0.99,4.63204070401076,8.26
331,PANDABYTE,2,8.28,201349084,0.99,4.634697622364152,8.28
332,PANDABYTE,2,8.27,201318359,0.99,4.632247968850173,8.27
333,PANDABYTE,2,8.28,201510151,0.99,4.628340917872668,8.28
334,PANDABYTE,2,8.28,201671176,0.99,4.626550252277995,8.28
335,PANDABYTE,2,8.28,201723268,0.99,4.626629495215197,8.28
336,PANDABYTE,2,8.29,201778413,0.99,4.628625733715133,8.29
337,PANDABYTE,2,8.27,201716700,0.99,4.6187725222056475,8.27
338,PANDABYTE,2,8.04,196363031,0.99,4.595893743665018,8.04
339,PANDABYTE,2,8.36,198677942,0.99,4.732016776578046,8.36
340,PANDABYTE,2,8.21,200799837,0.99,4.606065995760743,8.21
341,PANDABYTE,2,8.2,200431558,0.99,4.606638296150948,8.2
342,PANDABYTE,2,8.2,200591851,0.99,4.6056612155196675,8.2
343,PANDABYTE,2,8.17,200104524,0.99,4.52232865364903,8.17
344,PANDABYTE,2,8.21,200186057,0.99,4.545552116449349,8.21
345,PANDABYTE,2,8.22,200108868,0.99,4.552807551137613,8.22
346,PANDABYTE,2,8.14,197977726,0.99,4.545386274716581,8.14
347,PANDABYTE,2,8.14,198090368,0.99,4.544882565920621,8.14
348,PANDABYTE,2,8.14,198162576,0.99,4.544517483159888,8.14
349,PANDABYTE,2,8.13,198209867,0.99,4.5377286974820485,8.13
350,PANDABYTE,2,8.14,198521348,0.99,4.539203431763923,8.14
351,PANDABYTE,2,8.14,198690118,0.99,4.538181721045634,8.14
352,PANDABYTE,2,7.96,194229608,0.99,4.397680832677168,7.96
353,PANDABYTE,2,8.34,196421820,0.99,4.568832241652175,8.34
354,PANDABYTE,2,7.7,188656300,0.99,4.152922859400932,7.7
355,PANDABYTE,2,7.69,188692902,0.99,4.145912569302686,7.69
356,PANDABYTE,2,7.68,188415427,0.99,4.1368445748871725,7.68
357,PANDABYTE,2,7.69,187731693,0.99,4.15035692865136,7.69
358,PANDABYTE,2,7.66,187797493,0.99,4.133707628088517,7.66
359,PANDABYTE,2,7.66,187606201,0.99,4.134332691220585,7.66
360,PANDABYTE,2,7.61,186213181,0.99,4.13036736352192,7.61
361,PANDABYTE,2,7.62,186220407,0.99,4.133133890100455,7.62
362,PANDABYTE,2,7.61,186254071,0.99,4.1254280275033555,7.61
363,PANDABYTE,2,7.61,186233200,0.99,4.125703523217128,7.61
364,PANDABYTE,2,7.6,185802864,0.99,4.128751401808317,7.6
365,PANDABYTE,2,7.63,185594007,0.99,4.145520549216872,7.63
366,PANDABYTE,2,7.64,185026974,0.99,4.159386563172135,7.64
367,PANDABYTE,2,7.84,184523676,0.99,4.275784232913288,7.84
368,PANDABYTE,2,7.7,184351295,0.99,4.199603025679858,7.7
369,PANDABYTE,2,7.63,184306167,0.99,4.163843242369638,7.63
370,PANDABYTE,2,7.64,184420807,0.99,4.173029736606672,7.64
371,PANDABYTE,2,7.54,182089788,0.99,4.114480879290166,7.54
372,PANDABYTE,2,7.5,181908292,0.99,4.096798889189724,7.5
373,PANDABYTE,2,7.52,182434816,0.99,4.099667211986554,7.52
374,PANDABYTE,2,7.52,182208680,0.99,4.1048081454736405,7.52
375,PANDABYTE,2,7.53,182345177,0.99,4.1076348766274196,7.53
376,PANDABYTE,2,7.5,181901185,0.99,4.088954250517939,7.5
377,PANDABYTE,2,7.53,182124398,0.99,4.100781411889691,7.53
378,PANDABYTE,2,7.61,182122736,0.99,4.143522175671685,7.61
379,PANDABYTE,2,7.5,182096895,0.99,4.08367571434977,7.5
380,PANDABYTE,2,7.52,182209297,0.99,4.093215791947213,7.52
381,PANDABYTE,2,7.79,182338243,0.99,4.238214622974073,7.79
382,PANDABYTE,2,7.52,182190903,0.99,4.098668190749348,7.52
383,PANDABYTE,2,7.53,182896000,0.99,4.094515139915581,7.53
384,PANDABYTE,2,7.54,183418097,0.99,4.102700563129275,7.54
385,PANDABYTE,2,7.53,183143748,0.99,4.0959619266937795,7.53
386,PANDABYTE,2,7.51,183181884,0.99,4.086149110683893,7.51
